,Country,Obesity,Overweight,Mortality per 100.000,Alcohol Consumed,latitude,longitude,geometry
154,Suriname,22.5019607843137,54.3039215686275,600.464705882353,5.92156862745098,4.1413025,-56.0771187,Suriname
155,Sweden,17.4686274509804,53.021568627451,360.872549019608,9.07647058823529,59.6749712,14.5208584,Sverige
156,Switzerland,16.5921568627451,51.2372549019608,330.888235294118,11.8372549019608,46.7985624,8.2319736,Schweiz/Suisse/Svizzera/Svizra
157,Syrian Arab Republic,22.756862745098,55.743137254902,652.107843137255,0.77843137254902,34.6401861,39.0494106,سوريا
158,Tajikistan,10.6843137254902,39.9490196078431,878.401960784314,0.745098039215686,38.6281733,70.8156541,Тоҷикистон
159,Thailand,6.32745098039216,25.0725490196078,412.778431372549,8.3156862745098,14.8971921,100.83273,ประเทศไทย
160,Timor-Leste,2.38235294117647,16.9,547.149019607843,0.4,-8.5151979,125.8375756,Timór Lorosa'e
161,Togo,5.94705882352941,23.2921568627451,736.770588235294,2.17058823529412,8.7800265,1.0199765,Togo
162,Tonga,42.4823529411765,74.5117647058824,677.18431372549,1.39607843137255,-19.9160819,-175.202642,Tonga
163,Trinidad and Tobago,14.278431372549,40.2,627.792156862745,6.11176470588235,10.8677845,-60.9821067,Trinidad and Tobago
164,Tunisia,22.3039215686275,56.3764705882353,510.750980392157,1.57450980392157,33.8439408,9.400138,تونس
165,Turkey,26.7549019607843,61.578431372549,491.347058823529,2.13333333333333,38.9597594,34.9249653,Türkiye
166,Turkmenistan,14.3666666666667,46.1705882352941,895.803921568627,2.81960784313725,39.3763807,59.3924609,Türkmenistan
167,Uganda,3.62156862745098,18.5882352941176,701.417647058824,14.8156862745098,1.5333554,32.2166578,Uganda
168,Ukraine,21.2313725490196,55.2156862745098,853.078431372549,13.2,49.4871968,31.2718321,Україна
169,United Arab Emirates,28.5529411764706,63.7411764705882,566.276470588235,2.61372549019608,24.0002488,53.9994829,الإمارات العربية المتحدة
170,United Kingdom of Great Britain and Northern Ireland,23.1019607843137,59.4470588235294,402.1,12.8607843137255,54.7023545,-3.2765753,United Kingdom
171,United Republic of Tanzania,5.7843137254902,22.6352941176471,550.819607843137,9.52352941176471,-6.5247123,35.7878438,Tanzania
172,United States of America,30.921568627451,63.5666666666667,434.723529411765,9.61764705882353,39.7837304,-100.445882,United States
173,Uruguay,24.0352941176471,58.5843137254902,503.825490196078,7.6156862745098,-32.8755548,-56.0201525,Uruguay
174,Uzbekistan,12.7196078431373,43.0235294117647,837.801960784314,2.30588235294118,41.32373,63.9528098,Oʻzbekiston
175,Vanuatu,20.2607843137255,51.3333333333333,1000.91764705882,1.55098039215686,-16.5255069,168.1069154,Vanuatu
176,Venezuela (Bolivarian Republic of),22.4901960784314,59.9745098039216,448.41568627451,8.68235294117647,8.0018709,-66.1109318,Venezuela
177,Viet Nam,1.22941176470588,13.7313725490196,610.274509803922,4.34901960784314,13.2904027,108.4265113,Việt Nam
178,Yemen,12.578431372549,42.0235294117647,741.429411764706,0.309803921568627,16.3471243,47.8915271,اليمن
179,Zambia,5.85098039215686,23.5529411764706,810.41568627451,3.37843137254902,-14.5189121,27.5589884,Zambia
180,Zimbabwe,12.7627450980392,34.0823529411765,760.323529411765,3.84313725490196,-18.4554963,29.7468414,Zimbabwe
